Wavelength (nm,Intensity AC 1
194.9648667,1026.0
195.23630391108566,1026.0
195.50773147432525,994.0
195.77914938969263,989.0
196.0505576571618,1005.0
196.32195627670666,1076.0
196.59334524830112,1101.0
196.86472457191908,1096.0
197.13609424753452,1122.0
197.4074542751213,1129.0
197.67880465465336,1129.0
197.9501453861046,1124.0
198.221476469449,1133.0
198.49279790466042,1082.0
198.7641096917128,1104.0
199.03541183058002,1120.0
199.3067043212361,1147.0
199.5779871636549,1126.0
199.84926035781032,1129.0
200.12052390367631,1126.0
200.3917778012268,1134.0
200.66302205043567,1124.0
200.93425665127685,1155.0
201.20548160372428,1151.0
201.4766969077519,1130.0
201.74790256333358,1121.0
202.01909857044328,1125.0
202.29028492905485,1122.0
202.56146163914232,1160.0
202.83262870067955,1141.0
203.10378611364044,1153.0
203.37493387799896,1163.0
203.64607199372895,1164.0
203.91720046080442,1140.0
204.18831927919925,1138.0
204.45942844888737,1151.0
204.73052796984268,1157.0
205.0016178420391,1123.0
205.2726980654506,1140.0
205.54376864005107,1137.0
205.81482956581436,1158.0
206.08588084271452,1155.0
206.3569224707254,1164.0
206.6279544498209,1155.0
206.89897677997493,1160.0
207.1699894611615,1133.0
207.44099249335446,1144.0
207.71198587652776,1164.0
207.9829696106553,1162.0
208.25394369571094,1135.0
208.52490813166872,1155.0
208.79586291850254,1155.0
209.0668080561862,1152.0
209.33774354469375,1149.0
209.60866938399909,1141.0
209.87958557407612,1150.0
210.15049211489873,1148.0
210.42138900644082,1148.0
210.69227624867642,1141.0
210.96315384157936,1135.0
211.2340217851236,1156.0
211.504880079283,1113.0
211.77572872403158,1143.0
212.0465677193432,1145.0
212.31739706519178,1164.0
212.58821676155122,1138.0
212.8590268083955,1148.0
213.1298272056985,1127.0
213.40061795343414,1153.0
213.67139905157634,1133.0
213.94217050009902,1147.0
214.21293229897614,1125.0
214.48368444818158,1150.0
214.75442694768924,1130.0
215.0251597974731,1142.0
215.29588299750702,1165.0
215.56659654776496,1155.0
215.83730044822082,1117.0
216.10799469884853,1143.0
216.378679299622,1154.0
216.64935425051522,1175.0
216.92001955150198,1143.0
217.19067520255626,1143.0
217.46132120365203,1145.0
217.73195755476314,1149.0
218.00258425586358,1115.0
218.27320130692718,1146.0
218.54380870792792,1146.0
218.81440645883973,1179.0
219.0849945596365,1121.0
219.35557301029212,1149.0
219.6261418107806,1135.0
219.8967009610758,1154.0
220.16725046115164,1102.0
220.43779031098202,1144.0
220.70832051054094,1160.0
220.97884105980225,1129.0
221.2493519587399,1141.0
221.5198532073278,1150.0
221.79034480553983,1162.0
222.06082675335,1152.0
222.33129905073216,1125.0
222.60176169766024,1143.0
222.87221469410818,1142.0
223.14265804004987,1131.0
223.41309173545932,1117.0
223.6835157803103,1133.0
223.95393017457684,1147.0
224.22433491823284,1164.0
224.4947300112522,1147.0
224.76511545360884,1148.0
225.0354912452767,1154.0
225.3058573862297,1157.0
225.57621387644173,1130.0
225.84656071588677,1152.0
226.11689790453866,1135.0
226.3872254423714,1175.0
226.65754332935884,1126.0
226.92785156547495,1113.0
227.1981501506936,1118.0
227.46843908498877,1158.0
227.7387183683344,1156.0
228.0089880007043,1149.0
228.27924798207246,1130.0
228.54949831241277,1157.0
228.8197389916992,1130.0
229.08997001990565,1160.0
229.36019139700602,1133.0
229.63040312297423,1155.0
229.90060519778424,1125.0
230.17079762140995,1153.0
230.44098039382527,1144.0
230.71115351500407,1161.0
230.98131698492037,1152.0
231.25147080354805,1156.0
231.52161497086098,1127.0
231.79174948683314,1147.0
232.06187435143846,1122.0
232.33198956465083,1168.0
232.60209512644417,1172.0
232.87219103679237,1159.0
233.1422772956694,1122.0
233.41235390304922,1149.0
233.68242085890563,1140.0
233.95247816321262,1164.0
234.22252581594412,1155.0
234.49256381707403,1168.0
234.7625921665763,1125.0
235.0326108644248,1115.0
235.30261991059345,1113.0
