Wavelength (nm),Intensity AC 1
194.9648667,8192.0
195.23630391108566,1054.0
195.50773147432525,1070.0
195.77914938969263,1012.0
196.0505576571618,1025.0
196.32195627670666,1022.0
196.59334524830112,1021.0
196.86472457191908,1022.0
197.13609424753452,1027.0
197.4074542751213,1021.0
197.67880465465336,1018.0
197.9501453861046,1024.0
198.221476469449,1018.0
198.49279790466042,1027.0
198.7641096917128,1026.0
199.03541183058002,1046.0
199.3067043212361,1038.0
199.5779871636549,1026.0
199.84926035781032,1033.0
200.12052390367631,1035.0
200.3917778012268,1038.0
200.66302205043567,1015.0
200.93425665127685,1041.0
201.20548160372428,1027.0
201.4766969077519,1035.0
201.74790256333358,1021.0
202.01909857044328,1028.0
202.29028492905485,1027.0
202.56146163914232,1016.0
202.83262870067955,1018.0
203.10378611364044,1026.0
203.37493387799896,1022.0
203.64607199372895,1024.0
203.91720046080442,1018.0
204.18831927919925,1020.0
204.45942844888737,1012.0
204.73052796984268,1042.0
205.0016178420391,1025.0
205.2726980654506,1014.0
205.54376864005107,1019.0
205.81482956581436,1019.0
206.08588084271452,1028.0
206.3569224707254,1018.0
206.6279544498209,1020.0
206.89897677997493,1032.0
207.1699894611615,1025.0
207.44099249335446,1021.0
207.71198587652776,1015.0
207.9829696106553,1031.0
208.25394369571094,1034.0
208.52490813166872,1039.0
208.79586291850254,1030.0
209.0668080561862,1039.0
209.33774354469375,1027.0
209.60866938399909,1017.0
209.87958557407612,1024.0
210.15049211489873,1031.0
210.42138900644082,1022.0
210.69227624867642,1020.0
210.96315384157936,1011.0
211.2340217851236,1027.0
211.504880079283,1036.0
211.77572872403158,1051.0
212.0465677193432,1038.0
212.31739706519178,1032.0
212.58821676155122,1025.0
212.8590268083955,1028.0
213.1298272056985,1035.0
213.40061795343414,1026.0
213.67139905157634,1017.0
213.94217050009902,1025.0
214.21293229897614,1008.0
214.48368444818158,1014.0
214.75442694768924,1021.0
215.0251597974731,1025.0
215.29588299750702,1019.0
215.56659654776496,1029.0
215.83730044822082,1023.0
216.10799469884853,1019.0
216.378679299622,1028.0
216.64935425051522,1034.0
216.92001955150198,1018.0
217.19067520255626,1026.0
217.46132120365203,1024.0
217.73195755476314,1032.0
218.00258425586358,1039.0
218.27320130692718,1027.0
218.54380870792792,1031.0
218.81440645883973,1036.0
219.0849945596365,1037.0
219.35557301029212,1032.0
219.6261418107806,1040.0
219.8967009610758,1033.0
220.16725046115164,1019.0
220.43779031098202,1033.0
220.70832051054094,1036.0
220.97884105980225,1030.0
221.2493519587399,1017.0
221.5198532073278,1031.0
221.79034480553983,1028.0
222.06082675335,1030.0
222.33129905073216,1022.0
222.60176169766024,1027.0
222.87221469410818,1044.0
223.14265804004987,1039.0
223.41309173545932,1033.0
223.6835157803103,1036.0
223.95393017457684,1034.0
224.22433491823284,1036.0
